Song Title,Artist,Creator,Circle Size,Total Notes,Average Interval,Minimum Interval,Maximum Interval,2 Chord,3 Chord,4 Chord,1 Note on Drag,2 Note on Drag,3 Note on Drag,Drag on 1 Drag,Drag on 2 Drag,Drag on 3 Drag,NPM,Difficulty
Senretsu no ryu,Deuce,Mashiro-Fang,4,411,243.37669376693768,96,1549,329,41,0,37,0,0,21,0,0,274.09441029688,1.81
Senretsu no ryu,Deuce,Mashiro-Fang,4,895,164.78165137614678,96,1549,275,199,66,339,8,3,130,5,2,596.8722559992887,3.6
POODLE,Y&Co.,17VA,4,747,204.21678321678323,93,563,404,164,5,173,38,16,53,27,10,382.782475019216,2.31
POODLE,Y&Co.,17VA,4,525,280.7980769230769,187,750,311,104,2,108,12,0,52,6,0,269.0238278247502,1.66
TRIGGER*HAPPY,P*Light,Kuo Kyoka,4,971,159.78299120234604,81,2594,419,240,24,242,14,13,83,6,1,527.2541335963873,3.05
TRIGGER*HAPPY,P*Light,Kuo Kyoka,4,315,399.16483516483515,162,2594,233,41,0,51,1,0,23,1,0,171.04536774754064,1.32
TRIGGER*HAPPY,P*Light,Kuo Kyoka,4,1237,136.0854271356784,40,1946,476,208,107,53,8,2,32,8,2,675.6547624466313,4.12
amamichi,Otokaze,Simple_Star,4,803,220.07803992740472,157,1263,301,251,0,11,0,0,4,0,0,396.93524468610974,2.19
amamichi,Otokaze,Simple_Star,4,314,409.6722972972973,157,1263,280,17,0,46,2,0,24,1,0,155.21502718734553,1.17
SAVIOR OF SONG (TV Size),nano feat. MY FIRST STORY,HabiHolic,4,295,290.97278911564626,78,2579,295,0,0,6,0,0,6,0,0,205.52955793727284,4.58
SAVIOR OF SONG (TV Size),nano feat. MY FIRST STORY,HabiHolic,4,283,303.07801418439715,78,3438,283,0,0,1,0,0,1,0,0,197.34777606025034,4.64
SAVIOR OF SONG (TV Size),nano feat. MY FIRST STORY,HabiHolic,4,220,389.5525114155251,78,2500,220,0,0,4,0,0,4,0,0,153.69389299644874,3.15
Your song*,Yun*chi,victorica_db,4,205,538.8756756756757,230,2769,167,19,0,15,0,0,9,0,0,122.92501574039835,1.08
Your song*,Yun*chi,victorica_db,4,690,244.53699284009548,115,923,215,141,63,230,7,7,59,3,1,402.6062433142079,2.76
Your song*,Yun*chi,victorica_db,4,401,319.3018867924528,115,1847,239,79,0,18,6,0,8,2,0,236.09761841679176,1.73
Your song*,Yun*chi,victorica_db,4,255,341.6102362204724,115,923,255,0,0,3,0,0,3,0,0,150.13688951691248,3.55
Your song*,Yun*chi,victorica_db,4,183,476.75824175824175,230,1846,183,0,0,0,0,0,0,0,0,107.7442399026573,2.33
Intersect Thunderbolt-Remix,S.S.H.,ljqandylee,4,1647,101.87755102040816,40,960,829,373,24,237,0,0,12,0,0,790.5600000000001,4.49
Intersect Thunderbolt-Remix,S.S.H.,ljqandylee,4,607,218.25932504440496,60,1680,521,43,0,17,0,0,8,0,0,295.9051023724407,2.16
Univer Page (TV Size),Mimori Suzuko,victorica_db,4,701,209.66831683168317,40,641,174,167,63,262,15,2,51,5,1,493.7025342457714,2.92
Univer Page (TV Size),Mimori Suzuko,victorica_db,4,374,309.1459854014599,132,1444,176,99,0,45,4,0,21,3,0,263.401922693179,1.78
Koi Yomi Zakura,Loos,_S u w a k o_,4,450,323.85642317380353,178,4286,346,52,0,37,0,0,14,0,0,208.81186051367717,1.73
Koi Yomi Zakura,Loos,_S u w a k o_,4,169,758.3765432098766,357,11429,157,6,0,0,0,0,0,0,0,78.4204542818032,0.87
Koi Yomi Zakura,Loos,_S u w a k o_,4,535,293.6488888888889,89,3571,367,84,0,53,4,0,18,2,0,241.58225085419272,1.94
Koi Yomi Zakura,Loos,_S u w a k o_,4,992,187.3385269121813,89,2142,438,253,16,209,10,0,28,3,0,447.54235185310506,2.76
Maware! Setsugekka (TV Size),"Harada Hitomi, Kayano Ai & Ogura Yui",Chocoliti,4,844,153.83274647887325,93,750,348,170,48,663,10,7,662,10,5,572.1516699055452,2.84
Maware! Setsugekka (TV Size),"Harada Hitomi, Kayano Ai & Ogura Yui",Chocoliti,4,459,200.86666666666667,93,1500,413,23,0,23,2,0,14,1,0,311.1583133728024,1.83
Maware! Setsugekka (TV Size),"Harada Hitomi, Kayano Ai & Ogura Yui",Chocoliti,4,141,647.9926470588235,375,2250,133,4,0,1,0,0,1,0,0,95.58457992497854,0.9
This Will Be the Day (feat. Casey Lee Williams),Jeff Williams,arcwinolivirus,4,571,157.695,78,632,232,168,1,450,0,0,449,0,0,541.0441868544898,2.84
This Will Be the Day (feat. Casey Lee Williams),Jeff Williams,arcwinolivirus,4,122,516.8717948717949,157,1263,114,4,0,33,1,0,33,1,0,115.74220479413067,0.97
This Will Be the Day (feat. Casey Lee Williams),Jeff Williams,arcwinolivirus,4,515,165.78947368421052,78,632,249,130,2,305,48,29,299,39,24,488.58389728669914,3.06
This Will Be the Day (feat. Casey Lee Williams),Jeff Williams,arcwinolivirus,4,320,204.30405405405406,157,1263,274,23,0,249,6,4,248,6,4,303.5861109354247,1.95
You Make Me,Avicii ft. Salem Al Fakir,NaxelCL,4,250,408.64864864864865,240,1920,196,27,0,37,0,0,18,0,0,156.4945226917058,1.3
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Natsu,4,954,236.09653725078698,84,10543,954,0,0,3,0,0,3,0,0,253.56492617645887,6.23
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Natsu,4,596,379.0134453781513,85,10200,596,0,0,3,0,0,3,0,0,158.41233277221582,3.81
